_id,sentiment,political,text
5dcaf68fc14b24d0701c0496,0,0,RT @business: Greta Thunberg: “We are at the beginning of mass extinction and all you can talk about is money and fairytales of eternal eco…
5dcaf68fc14b24d0701c0497,0,0,"RT @JenAshleyWright: Well, Greta Thunberg is officially “she’d look prettier if she smiled more” years old. https://t.co/QSxcPgExCO"
5dcaf68fc14b24d0701c0498,1,0,"RT @RepAdamSchiff: Greta Thunberg, at 16 years old, has more courage and moral clarity on climate change than an entire room full of world…"
5dcaf68fc14b24d0701c0499,1,0,"RT @TheUSASingers: While Laura Ingraham is going to be disgraced and forgotten by history, Greta Thunberg will be praised and remembered as…"
5dcaf68fc14b24d0701c049a,0,0,"RT @mitchellvii: Greta Thunberg says we have ""stolen her childhood!""

Really? Did someone kidnap her and bring her here?"
5dcaf68fc14b24d0701c049b,0,0,RT @ValerieComplex: I hope the same energy given to Greta Thunberg is the same energy you give to Little Miss Flint because Flint still wit…
5dcaf68fc14b24d0701c049c,0,0,RT @Dorling83: '16 year old Greta Thunberg is too young to make her own mind up and has been groomed' scream people who said that Shamima B…
5dcaf68fc14b24d0701c049d,1,0,RT @kumparan: Greta the Great! https://t.co/Ol5HsIeKjY
5dcaf68fc14b24d0701c049e,1,0,"RT @alcadevinc: Greta Thunberg is being praised for fighting for the environment. 

Meanwhile, when Lumad youth speaks up, they are being p…"
5dcaf68fc14b24d0701c049f,0,1,RT @Liz_Wheeler: Trump ignores Greta Thunberg. 🤣🇺🇸 https://t.co/phY7lKfbHj
5dcaf68fc14b24d0701c04a0,0,1,"RT @JohnWHuber: I don’t care if she’s 16. Greta Thunberg is woefully uninformed about energy &amp; climate, likely has mental health issues, an…"
5dcaf68fc14b24d0701c04a1,0,0,"RT @CNN: ""You have stolen my dreams and my childhood with your empty words,"" climate activist Greta Thunberg tells the UN. ""We are in the b…"
5dcaf68fc14b24d0701c04a2,0,0,"RT @GuardianUS: ""#HowDareYou – you have stolen my dreams and my childhood.""

""The eyes of all future generations are on you,"" @GretaThunber…"
5dcaf68fc14b24d0701c04a3,0,0,"RT @MattWalshBlog: China emits more carbon dioxide than the US, UK, France, Spain, Germany, Poland, Italy, and every other EU country COMBI…"
5dcaf68fc14b24d0701c04a4,0,0,RT @stclairashley: Good morning to everybody except China for being the biggest polluter in the world yet somehow escaping the wrath of Gre…
5dcaf68fc14b24d0701c04a5,0,1,RT @Liz_Wheeler: Trump ignores Greta Thunberg. 🤣🇺🇸 https://t.co/phY7lKfbHj
5dcaf690c14b24d0701c04a6,0,1,"RT @DavidFurnessGB: @ActionBrexit I love global warming!
#GretaThunberg #GlobalWarming #ClimateActionSummit #ClimateStrike https://t.co/o1U…"
5dcaf690c14b24d0701c04a7,1,1,"RT @euronews: Greta Thunberg watched quietly as the U.S. President Donald Trump stole the show at the United Nations General Assembly, whil…"
