_id,sentiment,political,text
5dcabb43dd8a420f9f1d5706,1,0,"RT @vegan4thePigs: Greta Thunberg talking about why she went vegan! â€œI have stopped eating meat and dairy, both of ethical reasons and by eâ€¦"
5dcabb44dd8a420f9f1d5707,0,1,"RT @QBlueSkyQ: @realDonaldTrump UN was founded by Communists &amp; #CFR members whose goal is a socialist one world government #NWO
Rockefellerâ€¦"
5dcabb44dd8a420f9f1d5708,0,0,RT @Slate: â€œYou are failing us. But the young people are starting to understand your betrayal.â€ https://t.co/DHlmE3Pzn3
5dcabb44dd8a420f9f1d5709,0,0,"RT @TheMarkPantano: Greta Thunberg gives a speech, and it is full-on CRAZY!

Is this girl a fascist dictator-in-the-making, or what?!

WATCâ€¦"
5dcabb44dd8a420f9f1d570a,1,0,WATCH: Greta Thunberg's full speech to world leaders at UN Climate Action | https://t.co/qVfmeGV37b via @YouTube
5dcabb44dd8a420f9f1d570b,1,0,"RT @DougKass: A sixteen year old with Aspergers, Greta Thunberg,  is singularly driving the right out of their minds."
5dcabb44dd8a420f9f1d570c,0,0,"RT @_SJPeace_: Greta Thunberg

""This is all wrong. I shouldnâ€™t be up here. I should be in school on the other side of the ocean. Yet you coâ€¦"
5dcabb44dd8a420f9f1d570d,0,0,"RT @RealCandaceO: One day, #GretaThunberg will realize that she is a victim of child abuse, not climate change. 

I genuinely find the videâ€¦"
5dcabb44dd8a420f9f1d570e,1,0,RT @sbstryker: Greta Thunbergâ€™s glare at Donald Trump is giving me the energy to get through this Monday https://t.co/xdM0rdI2ln
5dcabb44dd8a420f9f1d570f,0,0,"RT @adamcbest: When conservatives attack young activists like David Hogg and Greta Thunberg what they are really saying is â€œHey, kids, stopâ€¦"
5dcabb44dd8a420f9f1d5710,0,1,RT @TXTrumpette89: SURPRISE! The Official Escort for 16-Year-Old Global Warming â€˜Expertâ€™ Greta Thunberg Is a Leftist Hack Funded by Georgeâ€¦
5dcabb44dd8a420f9f1d5711,0,0,RT @GretaThunberg: â€œPeople are suffering. People are dying. Entire ecosystems are collapsing. We are in the beginning of a mass extinction.â€¦
5dcabb44dd8a420f9f1d5712,0,1,"RT @prageru: Despicable. 

Leftists are telling children, like Greta Thunberg, that climate change is going to kill them and everyone theyâ€¦"
5dcabb44dd8a420f9f1d5713,1,0,"RT @MyDaughtersArmy: We are all Greta Thunberg.
 https://t.co/dEyjsfTOJE"
5dcabb44dd8a420f9f1d5714,0,0,"RT @CNN: ""You have stolen my dreams and my childhood with your empty words,"" climate activist Greta Thunberg tells the UN. ""We are in the bâ€¦"
5dcabb44dd8a420f9f1d5715,0,1,"RT @wharsmetoothpic: Greta Thunberg staring straight into Trump's dark, cavernous soul #GretaThurnberg https://t.co/ZbPiwoTHNE"
5dcabb44dd8a420f9f1d5716,0,0,"RT @1776Stonewall: psychotic Swedish teen climate freak, Greta Thunberg, and 15 other brainwashed children file climate complaints againstâ€¦"
5dcabb44dd8a420f9f1d5717,0,0,"RT @Ian56789: Vomit!ðŸ¤®ðŸ¤®ðŸ¤®
Greta Thunberg's appallingly ignorant, brainwashed, evidence free testimony for the Neoliberal Globalists agenda atâ€¦"
5dcabb44dd8a420f9f1d5718,0,0,"RT @_SJPeace_: Greta Thunberg

""This is all wrong. I shouldnâ€™t be up here. I should be in school on the other side of the ocean. Yet you coâ€¦"
5dcabb44dd8a420f9f1d5719,0,1,"RT @TheMarkPantano: Greta Thunberg gives a speech, and it is full-on CRAZY!

Is this girl a fascist dictator-in-the-making, or what?!

WATCâ€¦"
5dcabb44dd8a420f9f1d571a,0,0,"RT @_SJPeace_: Greta Thunberg

""This is all wrong. I shouldnâ€™t be up here. I should be in school on the other side of the ocean. Yet you coâ€¦"
5dcabb45dd8a420f9f1d571b,0,1,RT @TIME: Greta Thunberg to world leaders at the U.N. climate summit: â€œYou have stolen my dreams and my childhood with your empty wordsâ€ htâ€¦
5dcabb45dd8a420f9f1d571c,0,0,"RT @WIRED: â€People are suffering, people are dying, entire ecosystems are collapsing. We are in the beginning of a mass extinction and allâ€¦"
5dcabb45dd8a420f9f1d571d,0,1,"RT @SenWhitehouse: At some point, will old, right-wing men stop trolling Greta Thunberg?  

Itâ€™s really gotten gross. I guess when your morâ€¦"
5dcabb45dd8a420f9f1d571e,0,1,RT @TPoppaPuff: @CarpeDonktum @realDonaldTrump Do all Swedish girls sound like a movie from the 40's or is it just the brainwashed ones?â€¦
5dcabb45dd8a420f9f1d571f,0,0,RT @bornmiserable: PICTURED: a petulant child with a mental disorder and Greta Thunberg https://t.co/1RFcr81R1A
5dcabb45dd8a420f9f1d5720,1,0,RT @MohamedMOSalih: All in favour of Greta Thunberg for the Nobel Peace Prize ðŸ™‹â€â™‚ï¸
5dcabb45dd8a420f9f1d5721,0,0,RT @FredrikSewell: Anyone whoâ€™s got a problem with Greta Thunberg can pretty much fuck off.
