id,label,tweet
5dcaf694c14b24d0701c04f2,1, - @GretaThunberg is fighting for the planet and the living conditions of your grandchildren and yoâ€¦ https://t.co/jq6e2iOTfK
5dcaf697c14b24d0701c052e,0,"""A Fox News guest called Greta Thunberg â€˜mentally ill.â€™ The network apologized for the â€˜disgracefulâ€™ comment"""
5dcaf681c14b24d0701c0392,1,"""How dare you?"" Il discorso di Greta Thunberg all'Onu https://t.co/5xuqnhCrSn"
5dcaf699c14b24d0701c0553,0,"""How dare you?""

I stan for Greta Thunberg who berated world leaders for their inaction on climate crisis. 

This iâ€¦ https://t.co/JimJPVpsLW"
5dcaf698c14b24d0701c0549,1,&amp;#8220;She seems like a very happy young girl&amp;#8221;: President Trump on Greta Thunberg https://t.co/LuOzZa2NLj
5dc88572678e6d23f770655d,1,"@AfMusk NDGT is 100% right. I have three heroes, Elon Musk, Greta Thunberg and Neil deGrasse Tyson."
5dcca71ff372816fadd094df,0,@bradleymueller @greta Are you Bob Mueller's son?  This is going to blow up just like that did
5dcaf696c14b24d0701c0524,1,"@CanadensisMax Guess whoâ€™s up for a Nobel Prize ... @GretaThunberg â€¼ï¸
The whining bitch trump is #GretaThurnberg â€˜sâ€¦ https://t.co/J4PZWqOmf4"
5dcca65cf372816fadd0949b,0,"@CTVVancouver Again, when will this phony &amp; fake little brat be back in ""school""? 

She certainly needs it!
She's aâ€¦ https://t.co/JA7im3NhzY"
5dcabb3edd8a420f9f1d568f,1,@Dangamipissed @sarahmquinlan @RobGeorge Sarah is in for a surprise when she learns there were a few million Gretasâ€¦ https://t.co/hrJk6mPRMw
5dcabb4ddd8a420f9f1d57c0,1,@ethanparker99 @Wsep4765William It's such a simple message. When will the world see things with the clarity ofâ€¦ https://t.co/DTZlKvabXe
5dcca5aaf9456a438389912f,0,@greta How embarrassing for their family and especially their children.
5dcca671f372816fadd094a5,0,@greta I didnâ€™t know they were apart! Thank you Greta..he really needs to eat a salad or a hundred
5dcca5ecf9456a438389913f,1,@greta I thought the same thing. Bet his wife stands over him daily saying â€œtold you so!â€
5dcca71df372816fadd094de,0,@greta More theatrics! Cry me a river! LoL not watching
5dcca752f372816fadd094ee,0,@greta She must be a Jn 3:3 Christian to be able to live with a jerk   Letâ€™s all hold her up in prayer for she is dâ€¦ https://t.co/klAkgoAnFD
5dcca70bf372816fadd094d6,0,@greta She seems like a cool lady. He seems like an ass.  Why she hangs around the guy though all her business.
5dcca6fff372816fadd094d4,1,@greta She seriously can do better. D I V O R C E
5dcca72df372816fadd094e4,0,@greta What else do you expect of the Dems! So embarrassing! VOTE THE DEMS OUT!
5dcca6faf372816fadd094d1,1,@JosephBaileyOne @greta If she loved her husband she would not do what she does. It really is that simple. Write aâ€¦ https://t.co/Dqg6RIPqnW
5dcca743f372816fadd094e9,1,@Lateralist76 @SirWonderLlama @SBSNews No she not. If she was all of her predictions would have come true. What Greâ€¦ https://t.co/3xzlApdVqK
5dcaf683c14b24d0701c03ae,0,@LunchtimeLiveNT @GretaThunberg @ciarakellydoc @LeoVaradkar @MichealMartinTD @MaryLouMcDonald @RyanTubridyShowâ€¦ https://t.co/2m7pUPd6Pg
5dc88550678e6d23f770653d,1,"@MikeHudema 100 % for green energy!

100 % for environmental protection!

100 % for ecologists!

100 % for Greenpeaâ€¦ https://t.co/kNPqalqUE6"
5dcca70ef372816fadd094d9,0,"@ogbubba410 @RachieBabe079 Oh, you're so clever aren't you!  Fossil fuel companies are busy destroying our planet bâ€¦ https://t.co/zAgbuSqqy7"
5dcabb4edd8a420f9f1d57e6,0,@OxfordDiplomat Maybe it just dawned on him that the young climate change campaigner Greta Thunberg will get it befâ€¦ https://t.co/0tBhKwoXs2
5dcca726f372816fadd094e3,0,"@poiThePoi @MkBlyth Rack up your airmiles (but don't tell Greta), pay it off monthly; invest in your businesses. ðŸ‘"
5dcaf687c14b24d0701c0404,0,@RaymondDuke @Rainmaker1973 @Rainmaker1973c You lost your bet. But I bet you are never paying money you promised. Bâ€¦ https://t.co/bLjzq6dvCl
5dcaf688c14b24d0701c0412,1,@redsteeze Imagine being mad about the media hypothetically bullying an imaginary teenager when the media is busy bâ€¦ https://t.co/tJwSS8ykK5
5dcca66af372816fadd094a1,0,@rexthetvterrier Oscar and Greta will be your friend!! https://t.co/FtdcqTTV2f
5dcca65ff372816fadd0949e,0,@rurallife57 @QMEUP2 And that boat was made in most part from carbon fibers and  plastic which isnâ€™t ecological atâ€¦ https://t.co/khxK5sJKhq
5dcca4fd2af0a5955a8223d5,0,"@SaintDamienNZL Funny that. You may enjoy this
https://t.co/WPZvvIaeFK"
5dcca5f3f9456a4383899142,0,@sofiyaetdupont @Ali_Malik @GretaThunberg This is all wrong. I shouldn't be up here. I should be back in school onâ€¦ https://t.co/TLBoQppLVO
5dcca721f372816fadd094e1,1,"@Steve_Jacboson @greta Yes. The helping verbs are be, am, is, are, was, were being, been."
5dcca6bbf372816fadd094bc,1,@tan123 Greta has officially passed the test with flying colours... https://t.co/HFOuVAdLDl
5dcabb3bdd8a420f9f1d565f,0,â€˜How Dare You?â€™ Teen Activist Greta Thunberg Asks World Leaders at U.N. Climate Session https://t.co/RHCJzcAdqL
5dcca733f372816fadd094e6,1,"After two and a half months in the U.S., Greta Thunberg has set sail to Spain for the U.N. climate conference nextâ€¦ https://t.co/ZK9XKPgV5e"
5dc88536678e6d23f7706528,1,An immense mural of teen climate activist Greta Thunberg is turning heads in downtown San Francisco as it nears comâ€¦ https://t.co/fQLnzt5Kor
5dcca5d5f9456a438389913b,1,An Open Letter to Greta Thunberg https://t.co/9clyDh8X6U
5dcabb41dd8a420f9f1d56d1,0,Angry Greta Thunberg tells global leaders she 'will never forgive' them for failing on climate change. Most of thesâ€¦ https://t.co/TX7PDWKF2d
5dcaf684c14b24d0701c03cf,0,"By any measure, #Michael #Knowles was a rising name in the conservative media world. The Daily Wire contributor â€” aâ€¦ https://t.co/zHaq4sasxY"
5dcaf687c14b24d0701c03fb,0,CJ Pearson Challenges Climate Change Activist Greta Thunberg to Debate - Culttture https://t.co/uBLP9VUhad
5dcaf698c14b24d0701c0542,0,"Donald Trump Mocks 16-year-old Greta Thunberg, Twitter Reacts: 'She Has More Class in Her Little Finger'â€¦ https://t.co/cm1gPMtMHs"
5dcca693f372816fadd094b3,1,Follow Greta across the ocean https://t.co/Z9CWwM26iy
5dcaf698c14b24d0701c0548,0,"FOX News Guest Michael Knowles Calls Climate Activist Greta Thunberg a ""Mentally Ill"" Child -- Liberal Hack EXPLODEâ€¦ https://t.co/OkP9LVHGix"
5dcaf695c14b24d0701c0502,1,god greta thunberg is a LEGEND
5dcca5cff9456a438389913a,1,"Greta has worked her magic in Sweden ðŸ˜‚ðŸ˜‚ðŸ¤£
Snowiest in over 100 years
https://t.co/Q6ix2gFKOS"
5dcca6b5f372816fadd094ba,1,"Greta hitches ride across the Atlantic on YouTubers' boat 
https://t.co/Bk2V0cg4xM

Go Greta ðŸ‘"
5dcaf688c14b24d0701c040d,0,Greta Thunberg and George Monbiot make short film on the climate crisis https://t.co/tQZd9aGLQ4 via @YouTube
5dcabb51dd8a420f9f1d5817,0,Greta Thunberg and the Global Eco-Fascist Movement https://t.co/80tB88uwdl #BitChute
5dcaf695c14b24d0701c0506,1,"Greta Thunberg and Twerk Guy in Shorts are on the same side.

Think about that."
5dcabb46dd8a420f9f1d5737,0,"Greta Thunberg At UN Climate Summit Thunders: ""How Dare You?"" - https://t.co/JWVvsQLpE4 via @Shareaholic"
5dcaf680c14b24d0701c037e,0,Greta Thunberg Delivered A Powerful Speech And Then Shot Trump A Death Stare At The UN Climate Summitâ€¦ https://t.co/P4aCjewSul
5dcaf687c14b24d0701c03fc,0,Greta Thunberg Evil-Eyeing Trump Is The Internetâ€™s Hottest New GIF https://t.co/Pb66oCCutB
5dcabb52dd8a420f9f1d582b,0,Greta Thunberg gives impassioned rebuke of global leaders over climate crisis inaction https://t.co/dv7aN8TK8j
5dcaf685c14b24d0701c03db,0,Greta Thunberg is 16.  Conservatives have been viciously attacking her.  Dinesh Dâ€™Souza compares her to a Nazi chilâ€¦ https://t.co/gQPxuXhPj0
5dcabb4edd8a420f9f1d57d8,1,Greta Thunberg is a prophet. https://t.co/RL27oPAaQc
5dcca6e5f372816fadd094cb,1,Greta Thunberg sets sail for Europe on a catamaran https://t.co/HsmP70mvCL via @MailOnline
5dcaf680c14b24d0701c0376,1,Greta Thunberg to world leaders: 'How dare you â€“ you have stolen my dreams and my childhood' - video https://t.co/HIiZuQPEFm
5dcabb46dd8a420f9f1d5743,0,Greta Thunberg to world leaders: 'How dare you? You have stolen my dreams and my childhood' https://t.co/2hYAHserR7
5dc8852f678e6d23f7706522,0,"Greta Thunberg turns down environmental prize, says 'climate movement does not need any more awards' #musicnews360â€¦ https://t.co/QHwF4yDg4S"
5dcca74bf372816fadd094eb,0,"Greta Thunberg turns down environmental prize, says 'climate movement does not need any more awards' #musicnews360â€¦ https://t.co/yAjvEMvbaf"
5dcca6c5f372816fadd094c1,1,"Greta Thunberg, teen climate activist, is getting a huge mural in downtown San Francisco https://t.co/CiQFikKKnq"
5dcabb3fdd8a420f9f1d56a7,1,Greta Thunbergâ€™s white-hot zeal and singular focus on a critical global crisis remind me of me in the early 90s decâ€¦ https://t.co/GmZEGpYJdg
5dcca648f372816fadd09494,0,Greta Thunburg departed out my backyard (basically). https://t.co/CIEpGiGGLu
5dcaf693c14b24d0701c04db,1,grown people really be mocking greta thunberg for being 16 while theyâ€™re out here doing nothing compared to what sheâ€™s been doing
5dc8856d678e6d23f7706557,0,Haven't the residents of SF suffered enough without being tormented by this eyesore?
5dcaf686c14b24d0701c03f8,0,"He says this about Greta Thunberg, a young girl who understands what he doesnâ€™t, who speaks with an eloquence he doâ€¦ https://t.co/JLrlI7BtXi"
5dcca693f372816fadd094b2,0,Hey Greta... https://t.co/22k0tbVeGk
5dcca76cf372816fadd094f4,0,"Hillary and Greta are both dummies.

HILLARY: Male Leaders Are â€˜Scaredâ€™ of Greta Thunberg https://t.co/babPI7FjUM via @LibertyHeadline"
5dcca646f372816fadd09493,1,"HILLARY: Male Leaders Are 'Scared' of Greta Thunberg

â€˜There are a lot of people who are attacking her becauseâ€¦theyâ€¦ https://t.co/tXeVGXDuHx"
5dcca66bf372816fadd094a2,1,"https://t.co/LD9uqb7vsP
Greta Thunberg Hitches [Another] Free Ride Across the Atlantic, Slams â€˜Extremistâ€™ Donald Trâ€¦ https://t.co/RiNecFHRTO"
5dcaf682c14b24d0701c039d,1,Iâ€™ve muted â€œGreta Thunberg.â€ Iâ€™m such a dreadful monster.
5dcca768f372816fadd094f2,0,"I'm female and can tell you.
........EVERYONE is scared of Greta Thunberg.....ðŸ˜¦"
5dcca58d2af0a5955a8223e8,1,"I'm seriously glad that the ""artist donated"" this because I'd be pushing this City to ask for a refund ðŸ¤¢ðŸ¤®

 https://t.co/GEWJu9DRIm"
5dcca5412af0a5955a8223db,1,"Impeachment Committee Calls First Star Witness Greta Thunberg

 https://t.co/xpJ7HLw0aA"
5dc8852c678e6d23f7706520,0,"It wont be there for long...
Carbon-neutral, biodegradable, sustainable, LGBTQ friendly, anti-Trump spray paint, maâ€¦ https://t.co/DjvQ1UrDDX"
5dcaf697c14b24d0701c052f,0,It would be interesting to hear some solutions rather than problems and blame #gretathunberg
